Maxon:  A-max 19 (352971),3.6,0.72,34,10400,1.78,9.66,1.16,3.12,0.59,19,3.09,31.5
Maxon:  A-max 19 (352922),4.5,0.83,33,9420,3.61,9,2.24,4.49,0.76,19,2.01,28.9
Maxon:  A-max 19 (353590),6,0.72,34,12200,2.75,12.1,2.22,4.49,0.63,19,2.71,31.5
Maxon:  A-max 19 (202412),6,0.51,33,7790,3.59,7.36,5.88,7.22,0.76,19,1.02,28.9
"Maxon: DCX 12L (4.5V, config)",4.5,0.851,16,8800,4.02,11.2,1.94,4.83,0.82,12,2.32,28.2
"Maxon: DCX 12L (6V, config)",6,0.615,16,8800,3.87,10.5,3.68,6.44,0.81,12,1.63,28.2
"Maxon: DCX 16S (6V, config)",6,0.648,26,6580,5.3,12.6,4.06,8.53,0.74,16,1.48,26.5
Maxon: RE 13 (118462),3,0.72,21,12200,1.56,10.2,0.679,2.31,0.8,13,4.42,31.4
Maxon: RE 13 (118467),6,0.586,21,11400,2.81,8.51,3.5,4.96,0.79,13,1.72,31.4
Maxon: RE 13 (118468),7.2,0.497,21,11400,2.86,8.84,4.85,5.95,0.79,13,1.48,31.4
